Date and Time,Steps,Floors,Calories Burned,Elevation Gained,Feet - ignore,Miles,Miles - ignore,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,Cycle Day
"June 6, 2017",16305,2,2869,20,feet,5.97,miles,522,329,74,46,24
"June 7, 2017","6,889",6,"2,305",,,2.29,,957,348,0,0,25
"June 8, 2017","3,963",2,"1,831",,1.31,1.31,94,"1,189",94,15,9,1
"June 9, 2017","11,364",11,"2,637",,,3.77,,972,468,0,0,2
"June 10, 2017",7854,12,2069,120,feet,2.61,miles,1145,252,12,0,3
"June 11, 2017",5811,8,1882,80,feet,1.93,miles,595,145,25,5,4
"June 12, 2017",12840,23,2365,230,feet,4.26,miles,579,252,20,38,5
"June 13, 2017",9385,13,2289,130,feet,3.11,miles,696,306,11,8,6
"June 14, 2017",6758,8,2195,80,feet,2.24,miles,694,324,0,0,7
"June 15, 2017","6,993",6,"2,108",,,2.32,,609,251,5,2,8
"June 16, 2017",5663,4,1953,40,feet,1.89,miles,460,183,9,3,9
"June 17, 2017",15,0,"1,435",,,0,,"1,439",1,0,0,10
"June 18, 2017","9,776",7,"2,385",,,3.24,,"1,074",336,18,12,11
"June 19, 2017",10677,8,2431,80,feet,3.74,miles,325,346,17,21,12
"June 20, 2017",11682,9,2558,90,feet,3.88,miles,574,452,5,5,13
"June 21, 2017",16060,42,2865,420,feet,5.33,miles,571,484,30,0,14
"June 22, 2017","12,529",10,"2,694",,,4.16,,951,456,26,7,15
"June 23, 2017","6,851",14,"2,056",,,2.27,,"1,183",257,0,0,16
"June 24, 2017","5,070",8,"1,882",,,1.68,,676,196,0,0,17
"June 25, 2017",6256,6,1840,60,feet,2.08,miles,1279,123,25,13,15
"June 26, 2017",6700,5,1986,50,feet,2.22,miles,1030,222,2,6,16
"June 27, 2017",7139,11,2046,110,feet,2.37,miles,914,217,21,12,17
"June 28, 2017",12880,7,2789,70,feet,4.27,miles,717,491,10,15,18
"June 29, 2017","6,122",5,"2,222",,,2.03,,727,291,0,0,19
"June 30, 2017","7,435",14,"2,208",,,2.47,,"1,013",288,9,0,20
"July 1, 2017","15,384",16,"2,697",,,5.1,,474,452,38,2,21
"July 2, 2017","4,573",7,"1,930",,,1.52,,694,190,0,0,22
"July 3, 2017",6641,4,1936,40,feet,2.2,miles,1215,225,0,0,23
"July 4, 2017",6350,10,2060,100,feet,2.11,miles,577,269,0,0,1
"July 5, 2017",24,0,1400,0,feet,0.01,miles,1440,0,0,0,2
"July 6, 2017",5248,9,2015,90,feet,1.74,miles,1197,243,0,0,3
"July 7, 2017",6783,10,2051,100,feet,2.31,miles,760,227,9,0,4
"July 8, 2017",4687,9,1886,90,feet,1.56,miles,610,192,0,0,5
"July 9, 2017",2902,8,1732,80,feet,0.96,miles,727,141,0,0,6
"July 11, 2017",6810,3,2114,30,feet,2.26,miles,565,239,15,10,7
"July 12, 2017",7504,13,2271,130,feet,2.49,miles,675,310,8,5,8
"July 13, 2017",5559,9,2002,90,feet,1.84,miles,836,252,0,0,9
"July 14, 2017",3988,9,1813,90,feet,1.32,miles,786,181,0,0,10
"July 15, 2017",7598,7,2282,70,feet,2.52,miles,603,358,13,0,11
"July 16, 2017",4932,10,1918,100,feet,1.64,miles,1243,197,0,0,12
"July 17, 2017",6642,1,2016,10,feet,2.2,miles,755,246,0,0,13
"July 18, 2017",14411,4,2533,40,feet,5.17,miles,677,249,15,66,14
"July 19, 2017",5069,3,1914,30,feet,1.68,miles,797,198,0,0,15
"July 20, 2017",9433,12,2437,120,feet,3.13,miles,681,420,6,3,16
"July 21, 2017",8277,5,2377,50,feet,2.75,miles,683,380,14,5,17
"July 22, 2017",6539,10,1974,100,feet,2.17,miles,746,237,0,0,18
"July 23, 2017",11818,22,2297,220,feet,3.92,miles,1132,248,27,33,19
"July 24, 2017",8924,15,2292,150,feet,2.96,miles,573,371,0,0,20
"July 25, 2017",5536,9,1868,90,feet,1.89,miles,858,167,3,7,21
"July 26, 2017",6444,8,2000,80,feet,2.14,miles,807,230,0,0,22
"July 27, 2017",16511,26,2457,260,feet,5.56,miles,696,153,36,97,23
"July 28, 2017",5392,19,1867,190,feet,1.79,miles,740,154,5,12,24
"July 29, 2017",7459,9,2108,90,feet,2.47,miles,589,274,0,0,25
"July 30, 2017",8621,11,2271,110,feet,2.86,miles,455,377,0,0,1
"July 31, 2017",5361,6,2042,60,feet,1.78,miles,902,255,0,0,2
"August 1, 2017",,,,,,,,,,,,3
"August 2, 2017",6151,10,2045,100,feet,2.04,miles,639,205,19,3,4
"August 3, 2017",8045,7,2148,70,feet,2.67,miles,570,300,0,0,5
"August 4, 2017",6824,13,2148,130,feet,2.26,miles,751,346,0,0,6
"August 5, 2017",18406,48,2760,480,feet,6.11,miles,442,418,44,22,7
"August 6, 2017",4646,2,1874,20,feet,1.54,miles,740,196,0,0,8
"August 7, 2017",12455,16,2334,160,feet,4.16,miles,1153,218,17,52,9
"August 8, 2017",10771,10,2371,100,feet,3.57,miles,609,257,49,28,10
"August 9, 2017",7428,15,2082,150,feet,2.46,miles,646,245,3,12,11
"August 10, 2017",4891,6,1892,60,feet,1.62,miles,644,173,4,6,12
"August 11, 2017",11557,22,2210,220,feet,3.89,miles,824,198,17,48,13
"August 12, 2017",8571,6,2137,60,feet,2.84,miles,650,305,4,1,14
"August 13, 2017",5880,5,2058,50,feet,1.95,miles,768,257,0,0,15
"August 14, 2017",16776,23,2514,230,feet,5.57,miles,624,229,25,68,16
"August 15, 2017",4285,11,1916,110,feet,1.42,miles,822,194,9,1,17
"August 16, 2017",14251,16,2256,160,feet,4.73,miles,774,141,32,67,18
"August 17, 2017",13331,24,2345,240,feet,4.42,miles,560,211,17,68,19
"August 18, 2017",5607,5,1937,50,feet,1.86,miles,676,220,0,0,20
"August 19, 2017",7226,11,2182,110,feet,2.4,miles,557,310,0,0,21
"August 20, 2017",6206,11,2102,110,feet,2.06,miles,479,290,0,0,22
"August 21, 2017",13446,22,2363,220,feet,4.46,miles,664,197,21,71,23
"August 22, 2017",10137,13,2205,130,feet,3.36,miles,651,198,17,38,24
"August 23, 2017",13165,14,2471,140,feet,4.37,miles,621,286,39,33,25
"August 24, 2017",9215,20,2175,200,feet,3.06,miles,802,228,17,14,26
"August 25, 2017",8554,13,2313,130,feet,2.84,miles,1074,349,12,5,27
"August 26, 2017",6988,7,1989,70,feet,2.32,miles,671,213,20,5,1
"August 27, 2017",3235,6,1732,60,feet,1.07,miles,694,158,0,0,2
"August 28, 2017",14280,28,2434,280,feet,5.11,miles,634,172,26,78,3
"August 29, 2017",10373,13,2446,130,feet,3.51,miles,506,337,12,20,4
"August 30, 2017",5567,4,1931,40,feet,1.85,miles,1019,202,0,0,5
"August 31, 2017",8219,12,2116,120,feet,2.73,miles,668,231,16,16,6
"September 1, 2017",7210,9,2123,90,feet,2.39,miles,736,275,12,0,7
"September 2, 2017",11647,17,2270,170,feet,3.86,miles,650,284,28,14,8
"September 3, 2017",7567,10,2113,100,feet,2.51,miles,705,325,0,0,9
"September 4, 2017",13287,25,2564,250,feet,4.41,miles,541,424,25,2,10
"September 5, 2017",6473,12,2063,120,feet,2.15,miles,858,233,16,9,11
"September 6, 2017",5799,6,1979,60,feet,1.92,miles,864,233,0,0,12
"September 7, 2017","7,642",5,"2,209",,,2.54,,627,266,4,4,13
"September 8, 2017","7,739",3,"2,294",,,2.57,,536,349,0,0,14
"September 9, 2017","5,882",8,"2,134",,,1.95,,134,297,0,0,15
"September 10, 2017",9236,1,2402,10,feet,3.06,miles,473,401,0,0,16
"September 11, 2017",5620,11,1917,110,feet,1.86,miles,860,199,0,0,17
"September 12, 2017",5988,10,2065,100,feet,1.99,miles,738,250,6,3,18
"September 13, 2017",5771,9,1911,90,feet,1.91,miles,716,189,4,5,19
"September 14, 2017",5018,8,1814,80,feet,1.67,miles,860,162,0,0,20
"September 15, 2017",5790,7,1999,70,feet,1.92,miles,627,194,6,4,21
"September 16, 2017","8,774",8,"2,244",,,2.91,,477,248,10,30,22
"September 17, 2017","6,222",11,"2,077",,,2.06,,"1,080",244,0,0,23
"September 18, 2017",5838,9,1985,90,feet,1.94,miles,280,229,6,3,22
"September 19, 2017",7284,10,2045,100,feet,2.45,miles,735,233,4,11,23
"September 20, 2017","9,036",19,"2,511",,,3.08,,826,388,18,10,24
"September 21, 2017","2,839",6,"1,812",,,0.94,,202,150,0,0,1
"September 22, 2017","4,385",13,"1,935",,,1.45,,878,208,0,0,2
"September 23, 2017","7,432",6,"2,184",,,2.47,,96,286,5,3,3
"September 24, 2017",9213,14,2074,140,feet,3.06,miles,1177,224,20,19,4
"September 25, 2017",8462,16,2086,160,feet,2.81,miles,474,219,3,21,5
"September 26, 2017",10663,22,2206,220,feet,3.54,miles,684,211,6,40,6
"September 27, 2017","7,451",9,"2,192",,,2.53,,569,228,7,13,7
"September 28, 2017","6,603",16,"1,997",,,2.19,,751,197,0,0,8
"September 29, 2017","5,483",13,"1,975",,,1.82,,648,234,0,0,9
"September 30, 2017","1,271",5,"1,588",,,0.42,,646,62,0,0,10
