Fell Asleep At,End Time,Date of Fell Asleep,total Sleep,Total Sleep in Seconds,Time Awake,Time Awake Seconds,Awake Count,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
6/10/2017 23:28:00,6/11/2017 7:47:00,6/10/2017,,27600,38,2280,23,498,143,244,73
6/11/2017 21:07:00,6/12/2017 6:18:00,6/11/2017,,28860,70,4200,20,551,161,193,127
6/12/2017 23:10:00,6/13/2017 4:40:00,6/12/2017,,18720,18,1080,14,330,105,132,75
6/13/2017 22:31:00,6/14/2017 5:33:00,6/13/2017,,22320,50,3000,17,422,99,206,67
6/14/2017 21:26:00,6/15/2017 5:28:00,6/14/2017,,26160,46,2760,26,482,122,228,86
6/15/2017 22:29:00,6/16/2017 5:47:00,6/15/2017,,24240,34,2040,30,438,131,191,82
6/19/2017 0:39:00,6/19/2017 6:01:00,6/19/2017,,15420,65,3900,25,322,29,182,46
6/19/2017 22:33:00,6/20/2017 5:17:00,6/19/2017,,21960,38,2280,22,404,75,215,76
6/21/2017 1:30:00,6/21/2017 7:25:00,6/21/2017,,19740,26,1560,16,355,62,203,64
6/23/2017 21:30:00,6/24/2017 6:58:00,6/23/2017,,31500,43,2580,20,568,175,226,124
6/26/2017 21:00:00,6/27/2017 0:10:00,6/26/2017,,10500,15,900,7,190,45,73,57
6/27/2017 22:34:00,6/28/2017 0:22:00,6/27/2017,,5820,11,660,0,108,,,
6/28/2017 1:47:00,6/28/2017 4:52:00,6/28/2017,,9720,23,1380,8,185,39,80,43
6/28/2017 22:53:00,6/29/2017 5:55:00,6/28/2017,,23460,31,1860,19,422,88,244,59
6/30/2017 21:49:00,7/1/2017 5:52:00,6/30/2017,,27960,17,1020,2,483,,,
7/1/2017 21:57:00,7/2/2017 3:18:00,7/1/2017,,16920,39,2340,10,321,56,156,70
7/2/2017 4:36:00,7/2/2017 8:31:00,7/2/2017,,12600,25,1500,14,235,21,155,34
7/3/2017 22:03:00,7/4/2017 7:57:00,7/3/2017,,32100,59,3540,48,594,141,319,75
7/6/2017 22:41:00,7/7/2017 6:06:00,7/6/2017,,24720,32,1920,20,444,139,201,72
7/7/2017 20:11:00,7/8/2017 6:49:00,7/7/2017,,36300,33,1980,34,638,160,301,144
7/8/2017 22:03:00,7/9/2017 7:35:00,7/8/2017,493,29580,79,4740,28,572,130,259,104
7/9/2017 20:52:00,7/10/2017 5:36:00,7/9/2017,485,29100,38,2280,17,523,138,275,72
7/10/2017 21:57:00,7/11/2017 5:19:00,7/10/2017,398,23880,44,2640,22,442,90,230,78
7/11/2017 21:10:00,7/12/2017 4:32:00,7/11/2017,394,23640,48,2880,26,442,116,188,90
7/12/2017 23:17:00,7/13/2017 5:09:00,7/12/2017,335,20100,17,1020,18,352,86,154,95
7/13/2017 22:19:00,7/14/2017 4:30:00,7/13/2017,350,21000,21,1260,20,371,96,177,77
7/14/2017 5:52:00,7/14/2017 7:35:00,7/14/2017,97,5820,5,300,0,102,,,
7/14/2017 23:35:00,7/15/2017 7:21:00,7/14/2017,417,25020,49,2940,27,466,102,221,94
7/16/2017 21:43:00,7/17/2017 5:02:00,7/16/2017,410,24600,29,1740,29,439,97,246,67
7/17/2017 23:10:00,7/18/2017 6:23:00,7/17/2017,394,23640,39,2340,24,433,101,202,91
7/18/2017 23:04:00,7/19/2017 6:29:00,7/18/2017,381,22860,64,3840,14,445,82,219,80
7/20/2017 1:18:00,7/20/2017 6:48:00,7/20/2017,314,18840,16,960,15,330,71,180,63
7/20/2017 23:48:00,7/21/2017 5:47:00,7/20/2017,311,18660,47,2820,19,358,71,157,83
7/21/2017 22:47:00,7/22/2017 6:24:00,7/21/2017,407,24420,50,3000,19,457,131,211,65
7/23/2017 20:56:00,7/24/2017 5:12:00,7/23/2017,466,27960,30,1800,19,496,150,223,93
7/24/2017 22:59:00,7/25/2017 5:44:00,7/24/2017,381,22860,24,1440,23,405,102,197,82
7/25/2017 21:39:00,7/26/2017 3:08:00,7/25/2017,288,17280,40,2400,10,328,75,126,87
7/26/2017 4:15:00,7/26/2017 5:31:00,7/26/2017,71,4260,4,240,0,75,,,
7/26/2017 21:47:00,7/27/2017 5:26:00,7/26/2017,421,25260,37,2220,20,458,103,214,104
7/27/2017 21:18:00,7/28/2017 6:07:00,7/27/2017,493,29580,36,2160,34,529,113,276,104
7/28/2017 23:40:00,7/29/2017 9:18:00,7/28/2017,504,30240,73,4380,28,577,77,336,91
7/29/2017 21:25:00,7/30/2017 7:33:00,7/29/2017,549,32940,59,3540,27,608,120,295,134
7/30/2017 23:24:00,7/31/2017 4:08:00,7/30/2017,264,15840,19,1140,11,283,93,115,56
7/31/2017 22:42:00,8/1/2017 8:31:00,7/31/2017,517,31020,71,4260,31,588,110,355,52
8/1/2017 22:45:00,8/2/2017 8:19:00,8/1/2017,527,31620,47,2820,27,574,143,311,73
8/2/2017 21:58:00,8/3/2017 7:28:00,8/2/2017,480,28800,90,5400,22,570,93,297,90
8/3/2017 23:07:00,8/4/2017 2:13:00,8/3/2017,164,9840,22,1320,7,186,41,84,39
8/4/2017 4:51:00,8/4/2017 7:29:00,8/4/2017,148,8880,9,540,0,157,,,
8/4/2017 23:15:00,8/5/2017 7:49:00,8/4/2017,425,25500,89,5340,19,514,92,242,91
8/5/2017 22:32:00,8/6/2017 6:56:00,8/5/2017,470,28200,34,2040,21,504,160,243,67
8/7/2017 21:29:00,8/8/2017 5:46:00,8/7/2017,447,26820,50,3000,30,497,124,224,99
8/8/2017 21:35:00,8/9/2017 6:29:00,8/8/2017,492,29520,42,2520,33,534,148,248,96
8/9/2017 21:19:00,8/10/2017 7:32:00,8/9/2017,553,33180,60,3600,41,613,140,289,124
8/10/2017 23:03:00,8/11/2017 4:56:00,8/10/2017,320,19200,33,1980,19,353,103,150,67
8/11/2017 21:54:00,8/12/2017 5:54:00,8/11/2017,454,27240,26,1560,28,480,167,162,125
8/13/2017 0:23:00,8/13/2017 7:18:00,8/13/2017,352,21120,63,3780,22,415,66,195,91
8/13/2017 21:35:00,8/14/2017 5:49:00,8/13/2017,441,26460,53,3180,27,494,118,223,100
8/15/2017 0:18:00,8/15/2017 7:12:00,8/15/2017,371,22260,43,2580,16,414,81,222,68
8/15/2017 22:35:00,8/16/2017 5:41:00,8/15/2017,390,23400,36,2160,18,426,115,191,84
8/16/2017 20:56:00,8/17/2017 6:40:00,8/16/2017,522,31320,62,3720,25,584,141,292,89
8/17/2017 22:01:00,8/18/2017 5:14:00,8/17/2017,398,23880,35,2100,23,433,98,237,63
8/18/2017 22:08:00,8/19/2017 7:00:00,8/18/2017,489,29340,43,2580,26,532,146,238,105
8/19/2017 23:19:00,8/20/2017 6:36:00,8/19/2017,376,22560,61,3660,21,437,103,191,82
8/20/2017 20:06:00,8/21/2017 4:13:00,8/20/2017,426,25560,61,3660,21,487,138,202,86
8/21/2017 20:49:00,8/22/2017 5:45:00,8/21/2017,478,28680,58,3480,22,536,133,242,103
8/22/2017 21:19:00,8/23/2017 5:00:00,8/22/2017,428,25680,33,1980,25,461,130,225,73
8/24/2017 1:33:00,8/24/2017 7:52:00,8/24/2017,339,20340,40,2400,13,379,113,142,84
8/25/2017 22:45:00,8/26/2017 7:36:00,8/25/2017,460,27600,71,4260,28,531,117,273,70
8/27/2017 0:03:00,8/27/2017 9:51:00,8/27/2017,543,32580,45,2700,35,588,165,273,105
8/27/2017 21:11:00,8/28/2017 6:01:00,8/27/2017,480,28800,50,3000,30,530,124,273,83
8/28/2017 21:06:00,8/29/2017 6:32:00,8/28/2017,454,27240,111,6660,21,565,93,255,106
8/29/2017 23:53:00,8/30/2017 3:33:00,8/29/2017,188,11280,31,1860,15,219,15,130,43
8/30/2017 21:03:00,8/31/2017 5:27:00,8/30/2017,455,27300,49,2940,25,504,83,256,116
8/31/2017 23:54:00,9/1/2017 6:57:00,8/31/2017,411,24660,12,720,0,423,,,
9/1/2017 22:34:00,9/2/2017 7:44:00,9/1/2017,541,32460,7,420,0,550,,,
9/2/2017 22:55:00,9/3/2017 6:50:00,9/2/2017,458,27480,17,1020,0,475,,,
9/3/2017 22:09:00,9/4/2017 7:28:00,9/3/2017,536,32160,22,1320,2,559,,,
9/5/2017 1:25:00,9/5/2017 6:49:00,9/5/2017,301,18060,18,1080,2,324,,,
9/5/2017 21:02:00,9/6/2017 5:43:00,9/5/2017,510,30600,11,660,0,521,,,
9/6/2017 21:28:00,9/7/2017 6:01:00,9/6/2017,,26340,73,4380,33,512,112,255,72
9/7/2017 23:32:00,9/8/2017 7:40:00,9/7/2017,,26760,41,2460,28,487,125,219,102
9/8/2017 22:51:00,9/9/2017 6:58:00,9/8/2017,,26760,38,2280,2,487,,,
9/9/2017 22:16:00,9/10/2017 7:42:00,9/9/2017,,29820,69,4140,24,566,136,253,108
9/11/2017 1:12:00,9/11/2017 7:34:00,9/11/2017,,19920,49,2940,27,381,98,154,80
9/11/2017 22:25:00,9/12/2017 5:49:00,9/11/2017,,24480,35,2100,22,443,113,204,91
9/12/2017 21:37:00,9/13/2017 6:23:00,9/12/2017,,29580,33,1980,24,526,96,311,86
9/13/2017 22:27:00,9/14/2017 5:25:00,9/13/2017,,23340,29,1740,18,418,115,184,90
9/14/2017 19:34:00,9/15/2017 5:43:00,9/14/2017,,32400,69,4140,30,609,108,318,114
9/15/2017 20:43:00,9/16/2017 5:55:00,9/15/2017,,30540,43,2580,36,552,107,295,107
9/16/2017 21:07:00,9/16/2017 23:10:00,9/16/2017,,6900,8,480,0,123,,,
9/17/2017 22:03:00,9/18/2017 6:43:00,9/17/2017,,29100,33,1980,2,519,,,
9/18/2017 22:11:00,9/19/2017 5:48:00,9/18/2017,,24420,50,3000,23,457,102,212,93
9/19/2017 23:39:00,9/20/2017 2:39:00,9/19/2017,,9480,22,1320,9,180,26,103,29
9/20/2017 23:41:00,9/21/2017 8:05:00,9/20/2017,,29340,14,840,0,504,,,
9/21/2017 22:21:00,9/22/2017 2:24:00,9/21/2017,,13080,25,1500,2,243,,,
9/22/2017 4:51:00,9/22/2017 8:21:00,9/22/2017,,10560,34,2040,14,210,6,121,49
9/23/2017 0:22:00,9/23/2017 9:08:00,9/23/2017,,30240,20,1200,1,525,,,
9/24/2017 20:45:00,9/25/2017 0:59:00,9/24/2017,,13680,25,1500,16,253,53,142,33
9/25/2017 2:32:00,9/25/2017 6:27:00,9/25/2017,,12900,16,960,0,235,,,
9/25/2017 21:43:00,9/26/2017 6:02:00,9/25/2017,,27840,35,2100,26,499,125,238,101
9/26/2017 22:19:00,9/27/2017 6:53:00,9/26/2017,,27960,48,2880,30,514,125,247,94
9/27/2017 22:11:00,9/28/2017 5:55:00,9/27/2017,,24780,51,3060,20,464,131,206,76
9/28/2017 23:31:00,9/29/2017 6:47:00,9/28/2017,,23940,37,2220,24,436,114,225,60
9/29/2017 21:57:00,9/30/2017 7:50:00,9/29/2017,,34620,7,420,1,592,,,
9/30/2017 15:22:00,9/30/2017 17:19:00,9/30/2017,,6900,2,120,0,117,,,
9/30/2017 21:34:00,10/1/2017 6:05:00,9/30/2017,,27780,48,2880,36,511,111,255,97
10/1/2017 21:53:00,10/2/2017 5:14:00,10/1/2017,,23520,48,2880,19,440,82,228,82
10/2/2017 22:24:00,10/3/2017 5:33:00,10/2/2017,,23640,35,2100,19,429,113,210,71
10/3/2017 22:55:00,10/4/2017 6:56:00,10/3/2017,,26520,38,2280,26,480,122,218,102
10/5/2017 1:16:00,10/5/2017 7:37:00,10/5/2017,,20040,47,2820,20,381,108,154,72
10/6/2017 23:16:00,10/7/2017 8:18:00,10/6/2017,,28020,75,4500,22,542,124,246,97
10/8/2017 0:13:00,10/8/2017 7:32:00,10/8/2017,,22740,59,3540,23,438,71,247,61
